treatment_intensity,year,mean_area_m2,sd_area_m2,total_area_m2,n_cells,ci_lo,ci_hi,diff_vs_ref,diff_ci_lo,diff_ci_hi
0-3,2016,2031.1262798634812,1905.2747549446494,2975600.0,1465,1865.0413182391248,2214.158731734025,0.0,,
0-3,2019,2666.717494894486,2310.5152685875664,3917408.0,1469,2459.2298656787575,2897.7328042328045,0.0,,
0-3,2023,3277.131561008862,2736.0763925106294,4807552.0,1467,3034.0813647477694,3547.854850699922,0.0,,
10-12,2016,2624.68085106383,1536.316215032743,493440.0,188,2336.1646708074536,2907.548872180451,593.5545712003486,323.8362504512396,857.0431223961524
10-12,2019,3326.553191489362,1851.2088122830041,625392.0,188,2987.412873946467,3662.8982969755652,659.8356965948756,328.57840462447365,984.470625802208
10-12,2023,3994.2127659574467,2315.2173174922127,750912.0,188,3540.817196292618,4428.209434309932,717.0812049485849,293.08791797450164,1107.661564213908
13-,2016,2689.748987854251,1498.7620425918226,664368.0,247,2443.664842990244,2945.5967707967707,658.6227079907699,398.2163045862375,938.8508320856223
13-,2019,3419.919028340081,1775.8180324779478,844720.0,247,3123.8751672792387,3747.519878296146,753.2015334455946,421.90349970735855,1091.0386603070967
13-,2023,3997.2793522267207,2042.7607929998712,987328.0,247,3617.4833631389297,4390.103788988905,720.1477912178589,317.4463831336752,1133.059352102469
4-6,2016,2459.3939393939395,2748.6051940999205,811600.0,330,2086.3894484979173,2859.452239293887,428.26765953045833,143.78183318930184,739.4138525618039
4-6,2019,3083.3939393939395,3086.179238830448,1017520.0,330,2672.7550973654065,3527.8183152052566,416.6764444994533,94.08738327951804,750.538707512877
4-6,2023,3703.5151515151515,3498.271059907212,1222160.0,330,3195.4496260698947,4223.710037884817,426.3835905062897,49.234789936860054,831.5082227374476
7-9,2016,2476.1503759398497,1706.2974258914032,658656.0,266,2208.843859649123,2755.8773040402157,445.02409607636855,217.53591988656893,681.8894061321663
7-9,2019,3147.3684210526317,2059.176745091909,837200.0,266,2821.337702448211,3492.4170853307764,480.65092615814547,194.42331234371557,771.374327147394
7-9,2023,3778.8270676691727,2417.4905202015943,1005168.0,266,3342.7028195488724,4189.447567567568,501.6955066603109,165.64380652817024,856.3855668081452
