lon,lat,treatment_intensity,year,area_m2
34.2575,-0.0475,0-3,2016,832.0
34.2575,-0.0475,0-3,2019,1440.0
34.2575,-0.0475,0-3,2023,1952.0
34.2575,-0.0425,0-3,2016,1904.0
34.2575,-0.0425,0-3,2019,2624.0
34.2575,-0.0425,0-3,2023,3280.0
34.2625,-0.0425,0-3,2016,1200.0
34.2625,-0.0425,0-3,2019,2000.0
34.2625,-0.0425,0-3,2023,2432.0
34.2675,-0.0425,4-6,2016,2096.0
34.2675,-0.0425,4-6,2019,2912.0
34.2675,-0.0425,4-6,2023,3424.0
34.2625,-0.0375,0-3,2016,960.0
34.2625,-0.0375,0-3,2019,1312.0
34.2625,-0.0375,0-3,2023,2032.0
34.2675,-0.0375,0-3,2016,880.0
34.2675,-0.0375,0-3,2019,1136.0
34.2675,-0.0375,0-3,2023,1392.0
34.2725,-0.0375,7-9,2016,1200.0
34.2725,-0.0375,7-9,2019,1952.0
34.2725,-0.0375,7-9,2023,2560.0
34.2925,-0.0375,4-6,2016,640.0
34.2925,-0.0375,4-6,2019,816.0
34.2925,-0.0375,4-6,2023,928.0
34.2975,-0.0375,10-12,2016,928.0
34.2975,-0.0375,10-12,2019,1280.0
34.2975,-0.0375,10-12,2023,1616.0
34.3025,-0.0375,7-9,2016,1424.0
34.3025,-0.0375,7-9,2019,1952.0
34.3025,-0.0375,7-9,2023,1856.0
34.3125,-0.0375,0-3,2016,224.0
34.3125,-0.0375,0-3,2019,208.0
34.3125,-0.0375,0-3,2023,336.0
34.2625,-0.0325,0-3,2016,496.0
34.2625,-0.0325,0-3,2019,720.0
34.2625,-0.0325,0-3,2023,768.0
34.2675,-0.0325,0-3,2016,464.0
34.2675,-0.0325,0-3,2019,880.0
34.2675,-0.0325,0-3,2023,848.0
34.2725,-0.0325,0-3,2016,1584.0
34.2725,-0.0325,0-3,2019,2704.0
34.2725,-0.0325,0-3,2023,3040.0
34.2925,-0.0325,0-3,2016,1488.0
34.2925,-0.0325,0-3,2019,1952.0
34.2925,-0.0325,0-3,2023,2832.0
34.2975,-0.0325,10-12,2016,1056.0
34.2975,-0.0325,10-12,2019,1648.0
34.2975,-0.0325,10-12,2023,2208.0
34.3025,-0.0325,4-6,2016,2288.0
34.3025,-0.0325,4-6,2019,3520.0
34.3025,-0.0325,4-6,2023,4272.0
34.3125,-0.0325,0-3,2016,1104.0
34.3125,-0.0325,0-3,2019,1248.0
34.3125,-0.0325,0-3,2023,1856.0
34.3175,-0.0325,4-6,2016,1040.0
34.3175,-0.0325,4-6,2019,1584.0
34.3175,-0.0325,4-6,2023,1312.0
34.3225,-0.0325,13-,2016,1360.0
34.3225,-0.0325,13-,2019,1856.0
34.3225,-0.0325,13-,2023,2288.0
34.3375,-0.0325,0-3,2016,320.0
34.3375,-0.0325,0-3,2019,608.0
34.3375,-0.0325,0-3,2023,752.0
34.2575,-0.0275,0-3,2016,912.0
34.2575,-0.0275,0-3,2019,1264.0
34.2575,-0.0275,0-3,2023,1440.0
34.2625,-0.0275,0-3,2016,208.0
34.2625,-0.0275,0-3,2019,352.0
34.2625,-0.0275,0-3,2023,272.0
34.2675,-0.0275,0-3,2016,640.0
34.2675,-0.0275,0-3,2019,928.0
34.2675,-0.0275,0-3,2023,1216.0
34.2725,-0.0275,0-3,2016,1328.0
34.2725,-0.0275,0-3,2019,1872.0
34.2725,-0.0275,0-3,2023,2448.0
34.2775,-0.0275,0-3,2016,2704.0
34.2775,-0.0275,0-3,2019,3376.0
34.2775,-0.0275,0-3,2023,3728.0
34.2875,-0.0275,7-9,2016,1136.0
34.2875,-0.0275,7-9,2019,1504.0
34.2875,-0.0275,7-9,2023,1808.0
34.2925,-0.0275,4-6,2016,1360.0
34.2925,-0.0275,4-6,2019,1936.0
34.2925,-0.0275,4-6,2023,2080.0
34.3075,-0.0275,0-3,2016,1152.0
34.3075,-0.0275,0-3,2019,1728.0
34.3075,-0.0275,0-3,2023,2288.0
34.3125,-0.0275,0-3,2016,3888.0
34.3125,-0.0275,0-3,2019,4880.0
34.3125,-0.0275,0-3,2023,4880.0
34.3175,-0.0275,7-9,2016,1792.0
34.3175,-0.0275,7-9,2019,2928.0
34.3175,-0.0275,7-9,2023,3536.0
34.3225,-0.0275,10-12,2016,2096.0
34.3225,-0.0275,10-12,2019,2768.0
34.3225,-0.0275,10-12,2023,3392.0
34.3375,-0.0275,0-3,2016,1872.0
34.3375,-0.0275,0-3,2019,2448.0
34.3375,-0.0275,0-3,2023,3504.0
34.3425,-0.0275,0-3,2016,640.0
34.3425,-0.0275,0-3,2019,976.0
34.3425,-0.0275,0-3,2023,848.0
34.3575,-0.0275,0-3,2016,32.0
34.3575,-0.0275,0-3,2019,96.0
34.3575,-0.0275,0-3,2023,96.0
34.2525,-0.0225,0-3,2016,2320.0
34.2525,-0.0225,0-3,2019,3280.0
34.2525,-0.0225,0-3,2023,3776.0
34.2575,-0.0225,13-,2016,2224.0
34.2575,-0.0225,13-,2019,2720.0
34.2575,-0.0225,13-,2023,3392.0
34.2625,-0.0225,0-3,2016,1392.0
34.2625,-0.0225,0-3,2019,1584.0
34.2625,-0.0225,0-3,2023,2256.0
