lon,lat,treatment_intensity,year,volume_m3,built_area_m2,externality_index,externality_mean,n_neighbours,own_value
34.2575,-0.0475,0-3,2016,3837.625,832.0,3.0,1.5,2,1.5
34.2575,-0.0475,0-3,2019,6470.125,1440.0,3.0,1.5,2,1.5
34.2575,-0.0475,0-3,2023,8240.5,1952.0,3.0,1.5,2,1.5
34.2575,-0.0425,0-3,2016,7716.5,1904.0,4.5,1.5,3,1.5
34.2575,-0.0425,0-3,2019,11077.5,2624.0,4.5,1.5,3,1.5
34.2575,-0.0425,0-3,2023,14537.75,3280.0,4.5,1.5,3,1.5
34.2625,-0.0425,0-3,2016,4993.875,1200.0,11.0,2.2,5,1.5
34.2625,-0.0425,0-3,2019,9004.0,2000.0,11.0,2.2,5,1.5
34.2625,-0.0425,0-3,2023,10418.75,2432.0,11.0,2.2,5,1.5
34.2675,-0.0425,4-6,2016,8481.25,2096.0,12.5,3.125,4,5.0
34.2675,-0.0425,4-6,2019,11711.625,2912.0,12.5,3.125,4,5.0
34.2675,-0.0425,4-6,2023,13752.5,3424.0,12.5,3.125,4,5.0
34.2625,-0.0375,0-3,2016,3389.625,960.0,12.5,2.0833333333333335,6,1.5
34.2625,-0.0375,0-3,2019,4607.75,1312.0,12.5,2.0833333333333335,6,1.5
34.2625,-0.0375,0-3,2023,7879.375,2032.0,12.5,2.0833333333333335,6,1.5
34.2675,-0.0375,0-3,2016,3240.625,880.0,20.5,2.9285714285714284,7,1.5
34.2675,-0.0375,0-3,2019,4069.25,1136.0,20.5,2.9285714285714284,7,1.5
34.2675,-0.0375,0-3,2023,5321.5,1392.0,20.5,2.9285714285714284,7,1.5
34.2725,-0.0375,7-9,2016,4215.5,1200.0,9.5,2.375,4,8.0
34.2725,-0.0375,7-9,2019,7173.625,1952.0,9.5,2.375,4,8.0
34.2725,-0.0375,7-9,2023,9577.875,2560.0,9.5,2.375,4,8.0
34.2925,-0.0375,4-6,2016,2391.0,640.0,23.5,7.833333333333333,3,5.0
34.2925,-0.0375,4-6,2019,3120.25,816.0,23.5,7.833333333333333,3,5.0
34.2925,-0.0375,4-6,2023,3352.75,928.0,23.5,7.833333333333333,3,5.0
34.2975,-0.0375,10-12,2016,3138.375,928.0,30.5,6.1,5,11.0
34.2975,-0.0375,10-12,2019,4850.0,1280.0,30.5,6.1,5,11.0
34.2975,-0.0375,10-12,2023,5837.5,1616.0,30.5,6.1,5,11.0
34.3025,-0.0375,7-9,2016,6097.625,1424.0,27.0,9.0,3,8.0
34.3025,-0.0375,7-9,2019,8200.5,1952.0,27.0,9.0,3,8.0
34.3025,-0.0375,7-9,2023,7764.75,1856.0,27.0,9.0,3,8.0
34.3125,-0.0375,0-3,2016,821.75,224.0,6.5,3.25,2,1.5
34.3125,-0.0375,0-3,2019,844.875,208.0,6.5,3.25,2,1.5
34.3125,-0.0375,0-3,2023,1330.75,336.0,6.5,3.25,2,1.5
34.2625,-0.0325,0-3,2016,1778.375,496.0,9.0,1.5,6,1.5
34.2625,-0.0325,0-3,2019,2427.625,720.0,9.0,1.5,6,1.5
34.2625,-0.0325,0-3,2023,2782.375,768.0,9.0,1.5,6,1.5
34.2675,-0.0325,0-3,2016,1592.125,464.0,18.5,2.3125,8,1.5
34.2675,-0.0325,0-3,2019,3212.75,880.0,18.5,2.3125,8,1.5
34.2675,-0.0325,0-3,2023,3276.625,848.0,18.5,2.3125,8,1.5
34.2725,-0.0325,0-3,2016,6320.125,1584.0,15.5,2.5833333333333335,6,1.5
34.2725,-0.0325,0-3,2019,10887.125,2704.0,15.5,2.5833333333333335,6,1.5
34.2725,-0.0325,0-3,2023,11697.125,3040.0,15.5,2.5833333333333335,6,1.5
34.2925,-0.0325,0-3,2016,5470.5,1488.0,40.0,8.0,5,1.5
34.2925,-0.0325,0-3,2019,7072.125,1952.0,40.0,8.0,5,1.5
34.2925,-0.0325,0-3,2023,10181.75,2832.0,40.0,8.0,5,1.5
34.2975,-0.0325,10-12,2016,3956.25,1056.0,35.5,5.916666666666667,6,11.0
34.2975,-0.0325,10-12,2019,6368.75,1648.0,35.5,5.916666666666667,6,11.0
34.2975,-0.0325,10-12,2023,8065.125,2208.0,35.5,5.916666666666667,6,11.0
34.3025,-0.0325,4-6,2016,9132.75,2288.0,31.5,7.875,4,5.0
34.3025,-0.0325,4-6,2019,14332.375,3520.0,31.5,7.875,4,5.0
34.3025,-0.0325,4-6,2023,17785.375,4272.0,31.5,7.875,4,5.0
34.3125,-0.0325,0-3,2016,3833.625,1104.0,17.5,3.5,5,1.5
34.3125,-0.0325,0-3,2019,4278.75,1248.0,17.5,3.5,5,1.5
34.3125,-0.0325,0-3,2023,7272.75,1856.0,17.5,3.5,5,1.5
34.3175,-0.0325,4-6,2016,3958.375,1040.0,43.5,7.25,6,5.0
34.3175,-0.0325,4-6,2019,5858.5,1584.0,43.5,7.25,6,5.0
34.3175,-0.0325,4-6,2023,5288.625,1312.0,43.5,7.25,6,5.0
34.3225,-0.0325,13-,2016,5260.25,1360.0,24.0,8.0,3,20.0
34.3225,-0.0325,13-,2019,6625.0,1856.0,24.0,8.0,3,20.0
34.3225,-0.0325,13-,2023,8217.75,2288.0,24.0,8.0,3,20.0
34.3375,-0.0325,0-3,2016,1061.5,320.0,3.0,1.5,2,1.5
34.3375,-0.0325,0-3,2019,2119.75,608.0,3.0,1.5,2,1.5
34.3375,-0.0325,0-3,2023,2689.5,752.0,3.0,1.5,2,1.5
34.2575,-0.0275,0-3,2016,3336.625,912.0,26.0,5.2,5,1.5
34.2575,-0.0275,0-3,2019,4981.625,1264.0,26.0,5.2,5,1.5
34.2575,-0.0275,0-3,2023,5720.875,1440.0,26.0,5.2,5,1.5
34.2625,-0.0275,0-3,2016,857.125,208.0,27.5,4.583333333333333,6,1.5
34.2625,-0.0275,0-3,2019,1479.75,352.0,27.5,4.583333333333333,6,1.5
34.2625,-0.0275,0-3,2023,1251.625,272.0,27.5,4.583333333333333,6,1.5
34.2675,-0.0275,0-3,2016,2258.75,640.0,10.5,1.5,7,1.5
34.2675,-0.0275,0-3,2019,3500.0,928.0,10.5,1.5,7,1.5
34.2675,-0.0275,0-3,2023,4780.125,1216.0,10.5,1.5,7,1.5
34.2725,-0.0275,0-3,2016,4867.5,1328.0,7.5,1.5,5,1.5
34.2725,-0.0275,0-3,2019,7277.75,1872.0,7.5,1.5,5,1.5
34.2725,-0.0275,0-3,2023,9444.75,2448.0,7.5,1.5,5,1.5
34.2775,-0.0275,0-3,2016,12901.375,2704.0,15.5,3.875,4,1.5
34.2775,-0.0275,0-3,2019,16717.0,3376.0,15.5,3.875,4,1.5
34.2775,-0.0275,0-3,2023,16864.625,3728.0,15.5,3.875,4,1.5
34.2875,-0.0275,7-9,2016,4400.5,1136.0,42.5,8.5,5,8.0
34.2875,-0.0275,7-9,2019,5828.75,1504.0,42.5,8.5,5,8.0
34.2875,-0.0275,7-9,2023,7198.75,1808.0,42.5,8.5,5,8.0
34.2925,-0.0275,4-6,2016,4946.375,1360.0,65.5,10.916666666666666,6,5.0
34.2925,-0.0275,4-6,2019,6980.25,1936.0,65.5,10.916666666666666,6,5.0
34.2925,-0.0275,4-6,2023,7735.0,2080.0,65.5,10.916666666666666,6,5.0
34.3075,-0.0275,0-3,2016,4211.125,1152.0,9.5,2.375,4,1.5
34.3075,-0.0275,0-3,2019,6770.25,1728.0,9.5,2.375,4,1.5
34.3075,-0.0275,0-3,2023,9427.75,2288.0,9.5,2.375,4,1.5
34.3125,-0.0275,0-3,2016,15064.375,3888.0,37.5,6.25,6,1.5
34.3125,-0.0275,0-3,2019,19262.125,4880.0,37.5,6.25,6,1.5
34.3125,-0.0275,0-3,2023,19328.375,4880.0,37.5,6.25,6,1.5
34.3175,-0.0275,7-9,2016,7414.75,1792.0,68.5,8.5625,8,8.0
34.3175,-0.0275,7-9,2019,12491.75,2928.0,68.5,8.5625,8,8.0
34.3175,-0.0275,7-9,2023,13186.0,3536.0,68.5,8.5625,8,8.0
34.3225,-0.0275,10-12,2016,7637.25,2096.0,61.0,12.2,5,11.0
34.3225,-0.0275,10-12,2019,9748.5,2768.0,61.0,12.2,5,11.0
34.3225,-0.0275,10-12,2023,12675.625,3392.0,61.0,12.2,5,11.0
34.3375,-0.0275,0-3,2016,6701.125,1872.0,7.5,1.5,5,1.5
34.3375,-0.0275,0-3,2019,9236.125,2448.0,7.5,1.5,5,1.5
34.3375,-0.0275,0-3,2023,14524.25,3504.0,7.5,1.5,5,1.5
34.3425,-0.0275,0-3,2016,2107.75,640.0,6.0,1.5,4,1.5
34.3425,-0.0275,0-3,2019,3537.25,976.0,6.0,1.5,4,1.5
34.3425,-0.0275,0-3,2023,3406.125,848.0,6.0,1.5,4,1.5
