treatment_intensity,year,mean_volume_m3,sd_volume_m3,total_volume_m3,mean_built_area_m2,n_cells,ci_lo,ci_hi,diff_vs_ref,diff_ci_lo,diff_ci_hi
0-3,2016,8253.131740614335,8856.881720344618,12090838.0,2031.1262798634812,1465,7524.7967929454,9057.480544651338,0.0,,
0-3,2019,11094.161759700477,11121.838797611099,16297323.625,2666.717494894486,1469,10172.445171930314,12154.070963922466,0.0,,
0-3,2023,14205.829669393319,13478.920515569464,20839952.125,3277.131561008862,1467,13031.05067301928,15545.402152127659,0.0,,
10-12,2016,10431.003324468085,6855.493695940442,1961028.625,2624.68085106383,188,9218.445262490866,11663.672199083805,2177.87158385375,1065.1073262706163,3254.0883881648956
10-12,2019,13519.355718085106,8558.027878547557,2541638.875,3326.553191489362,188,11966.38559831941,14991.215767278087,2425.193958384629,980.1363877549121,3822.070477263363
10-12,2023,16995.98404255319,11142.73627680996,3195245.0,3994.2127659574467,188,14829.364398809525,19042.163096859113,2790.154373159872,882.49407600987,4662.366087302355
13-,2016,10527.284412955465,6682.502239637037,2600239.25,2689.748987854251,247,9499.523210341848,11653.195177116817,2274.15267234113,1171.3470214548156,3451.833208236751
13-,2019,13645.222165991903,8158.540780041532,3370369.875,3419.919028340081,247,12308.581885055171,15128.765737907925,2551.0604062914263,1056.8816464815773,4091.918587571294
13-,2023,16654.620445344128,9711.136364190832,4113691.25,3997.2793522267207,247,14946.005448438757,18472.599359724365,2448.790775950809,558.7542951172155,4368.187239725703
4-6,2016,10211.6125,13660.761545757767,3369832.125,2459.3939393939395,330,8440.81851644357,12200.201961429253,1958.480759385664,612.7084169837309,3527.7931520577386
4-6,2019,13098.457196969697,15873.496816161736,4322490.875,3083.3939393939395,330,11021.24620324374,15313.689759675555,2004.2954372692202,385.5520588612406,3705.976701817155
4-6,2023,16281.713636363636,18018.64160440391,5372965.5,3703.5151515151515,330,13761.172058213953,18868.07942703926,2075.8839669703175,226.665035355559,4020.919685110446
7-9,2016,9880.37969924812,7649.512976803762,2628181.0,2476.1503759398497,266,8758.113764791009,11163.392226964499,1627.247958633785,616.9997939416703,2666.717149585731
7-9,2019,12897.052631578947,9671.84297039791,3430616.0,3147.3684210526317,266,11429.668633987152,14521.747765997454,1802.8908718784696,500.9086565284268,3114.3279869729727
7-9,2023,16138.445958646616,11579.203019424613,4292826.625,3778.8270676691727,266,14192.464356269958,18094.54975378788,1932.6162892532975,360.15423277700967,3618.478772928151
